Region,Total,TotalUnder5years,Total5to9years,Total10to14years,Total15to19years,Total20to24years,Total25to29years,Total30to34years,Total35to39years,Total40to44years,Total45to49years,Total50to54years,Total55to59years,Total60to64years,Total65to69years,Total70to74years,Total75to79years,Total80to84years,Total85yearsandover,TotalAdults,TotalMedianage,TotalSexratio,TotalAgedependencyratio,TotalOldAgedependencyratio,TotalChilddependencyratio,MaleTotalpopulation,MaleUnder5years,Male5to9years,Male10to14years,Male15to19years,Male20to24years,Male25to29years,Male30to34years,Male35to39years,Male40to44years,Male45to49years,Male50to54years,Male55to59years,Male60to64years,Male65to69years,Male70to74years,Male75to79years,Male80to84years,Male85yearsandover,MaleAdults,MaleMedianage,MaleSexratio,MaleAgedependencyratio,MaleOldAgedependencyratio,MaleChilddependencyratio,PercentMaleTotal,PercentMaleUnder5years,PercentMale5to9years,PercentMale10to14years,PercentMale15to19years,PercentMale20to24years,PercentMale25to29years,PercentMale30to34years,PercentMale35to39years,PercentMale40to44years,PercentMale45to49years,PercentMale50to54years,PercentMale55to59years,PercentMale60to64years,PercentMale65to69years,PercentMale70to74years,PercentMale75to79years,PercentMale80to84years,PercentMale85yearsandover,PercentMaleAdults,PercentMaleMedianage,PercentMaleSexratio,PercentMaleAgedependencyratio,PercentMaleOldAgedependencyratio,PercentMaleChilddependencyratio,FemaleTotal,FemaleUnder5years,Female5to9years,Female10to14years,Female15to19years,Female20to24years,Female25to29years,Female30to34years,Female35to39years,Female40to44years,Female45to49years,Female50to54years,Female55to59years,Female60to64years,Female65to69years,Female70to74years,Female75to79years,Female80to84years,Female85yearsandover,FemaleAdults,FemaleMedianage,FemaleSexratio,FemaleAgedependencyratio,FemaleOldAgedependencyratio,FemaleChilddependencyratio,PercentFemaleTotal,PercentFemaleUnder5years,PercentFemale5to9years,PercentFemale10to14years,PercentFemale15to19years,PercentFemale20to24years,PercentFemale25to29years,PercentFemale30to34years,PercentFemale35to39years,PercentFemale40to44years,PercentFemale45to49years,PercentFemale50to54years,PercentFemale55to59years,PercentFemale60to64years,PercentFemale65to69years,PercentFemale70to74years,PercentFemale75to79years,PercentFemale80to84years,PercentFemale85yearsandover,PercentFemaleAdults,PercentFemaleMedianage,PercentFemaleSexratio,PercentFemaleAgedependencyratio,PercentFemaleOldAgedependencyratio,PercentFemaleChilddependencyratio
"Sulphur Springs, TX",36708,2296,2670,2573,2231,2267,2175,2274,2109,1975,2217,2389,2381,2276,2416,1613,1166,921,759,27680,39.5,96.5,76.4,33,43.4,18025,1246,1470,1180,1122,1122,1120,1095,1091,924,1068,1172,1106,1173,1162,771,504,418,281,13389,38,,,,,,6.9,8.2,6.5,6.2,6.2,6.2,6.1,6.1,5.1,5.9,6.5,6.1,6.5,6.4,4.3,2.8,2.3,1.6,74.3,,,,,,18683,1050,1200,1393,1109,1145,1055,1179,1018,1051,1149,1217,1275,1103,1254,842,662,503,478,14291,41.1,,,,,,5.6,6.4,7.5,5.9,6.1,5.6,6.3,5.4,5.6,6.1,6.5,6.8,5.9,6.7,4.5,3.5,2.7,2.6,76.5,,,,,
"Summerville, GA",24826,1468,1689,1479,1515,1543,1645,1386,1701,1489,1572,1698,1535,1725,1471,1055,786,402,667,19220,40,106.7,67.3,29.5,37.8,12813,745,819,824,784,937,1002,784,899,882,789,825,726,860,741,435,372,120,269,9925,37.7,,,,,,5.8,6.4,6.4,6.1,7.3,7.8,6.1,7,6.9,6.2,6.4,5.7,6.7,5.8,3.4,2.9,0.9,2.1,77.5,,,,,,12013,723,870,655,731,606,643,602,802,607,783,873,809,865,730,620,414,282,398,9295,42.6,,,,,,6,7.2,5.5,6.1,5,5.4,5,6.7,5.1,6.5,7.3,6.7,7.2,6.1,5.2,3.4,2.3,3.3,77.4,,,,,
"Sumter, SC",140540,8787,9215,8790,8658,10464,10048,8651,7930,7289,7866,8811,9518,9034,9133,5955,4357,2967,3067,108415,38.5,94.6,69.5,30.7,38.7,68337,4565,4680,4706,4475,5794,5188,4257,3866,3529,3590,4117,4625,3997,4372,2367,1849,1394,966,51715,35.6,,,,,,6.7,6.8,6.9,6.5,8.5,7.6,6.2,5.7,5.2,5.3,6,6.8,5.8,6.4,3.5,2.7,2,1.4,75.7,,,,,,72203,4222,4535,4084,4183,4670,4860,4394,4064,3760,4276,4694,4893,5037,4761,3588,2508,1573,2101,56700,41.1,,,,,,5.8,6.3,5.7,5.8,6.5,6.7,6.1,5.6,5.2,5.9,6.5,6.8,7,6.6,5,3.5,2.2,2.9,78.5,,,,,
"Sunbury, PA",91234,4728,5103,4886,4871,4921,5495,5609,5299,5183,5783,6301,6972,6765,6186,4480,3398,2516,2738,73321,44.5,101.9,68.9,35.8,33.2,46055,2517,2710,2395,2564,2659,2992,2969,2798,2756,3034,3246,3456,3351,2910,2226,1619,850,1003,36721,42.5,,,,,,5.5,5.9,5.2,5.6,5.8,6.5,6.4,6.1,6,6.6,7,7.5,7.3,6.3,4.8,3.5,1.8,2.2,79.7,,,,,,45179,2211,2393,2491,2307,2262,2503,2640,2501,2427,2749,3055,3516,3414,3276,2254,1779,1666,1735,36600,46.8,,,,,,4.9,5.3,5.5,5.1,5,5.5,5.8,5.5,5.4,6.1,6.8,7.8,7.6,7.3,5,3.9,3.7,3.8,81,,,,,
"Susanville, CA",30600,1378,1406,1396,1354,2741,3451,2576,2472,2003,1685,1858,2105,1754,1672,1032,718,568,431,25663,36.8,189.8,44.1,20.8,23.2,20042,678,669,752,793,2265,2876,1976,1915,1489,1118,1122,1266,924,903,504,287,321,184,17545,35,,,,,,3.4,3.3,3.8,4,11.3,14.3,9.9,9.6,7.4,5.6,5.6,6.3,4.6,4.5,2.5,1.4,1.6,0.9,87.5,,,,,,10558,700,737,644,561,476,575,600,557,514,567,736,839,830,769,528,431,247,247,8118,44.2,,,,,,6.6,7,6.1,5.3,4.5,5.4,5.7,5.3,4.9,5.4,7,7.9,7.9,7.3,5,4.1,2.3,2.3,76.9,,,,,
"Sweetwater, TX",14901,1053,953,1217,1292,840,745,880,916,783,885,802,987,832,834,672,465,351,394,11048,37.1,106.1,78.8,32.6,46.2,7670,532,443,674,877,496,363,472,407,458,408,406,482,421,432,349,178,101,171,5580,34.8,,,,,,6.9,5.8,8.8,11.4,6.5,4.7,6.2,5.3,6,5.3,5.3,6.3,5.5,5.6,4.6,2.3,1.3,2.2,72.8,,,,,,7231,521,510,543,415,344,382,408,509,325,477,396,505,411,402,323,287,250,223,5468,39.9,,,,,,7.2,7.1,7.5,5.7,4.8,5.3,5.6,7,4.5,6.6,5.5,7,5.7,5.6,4.5,4,3.5,3.1,75.6,,,,,
"Syracuse, NY",650211,36192,37028,38981,48548,45022,42256,41102,38020,34328,39212,44976,47016,46368,36755,27255,19264,11807,16081,513449,39.7,94.9,61.6,27.6,34,316590,18549,19001,19948,23815,22468,21324,20362,18638,16801,19016,21900,22748,22771,17162,13008,8228,4884,5967,246597,38.5,,,,,,5.9,6,6.3,7.5,7.1,6.7,6.4,5.9,5.3,6,6.9,7.2,7.2,5.4,4.1,2.6,1.5,1.9,77.9,,,,,,333621,17643,18027,19033,24733,22554,20932,20740,19382,17527,20196,23076,24268,23597,19593,14247,11036,6923,10114,266852,40.9,,,,,,5.3,5.4,5.7,7.4,6.8,6.3,6.2,5.8,5.3,6.1,6.9,7.3,7.1,5.9,4.3,3.3,2.1,3,80,,,,,
"Tahlequah, OK",48871,2898,2847,3229,3766,5254,3085,2852,3131,2412,2535,2833,3049,2806,2778,2074,1308,1173,841,38120,35.8,95.3,63.2,27.3,35.9,23850,1400,1462,1576,1938,2650,1499,1470,1448,1258,1219,1411,1434,1321,1416,975,541,525,307,18468,34.8,,,,,,5.9,6.1,6.6,8.1,11.1,6.3,6.2,6.1,5.3,5.1,5.9,6,5.5,5.9,4.1,2.3,2.2,1.3,77.4,,,,,,25021,1498,1385,1653,1828,2604,1586,1382,1683,1154,1316,1422,1615,1485,1362,1099,767,648,534,19652,36.5,,,,,,6,5.5,6.6,7.3,10.4,6.3,5.5,6.7,4.6,5.3,5.7,6.5,5.9,5.4,4.4,3.1,2.6,2.1,78.5,,,,,
"Talladega-Sylacauga, AL",80244,4289,4806,4784,5024,5220,5270,4720,4707,5097,5419,5347,5025,6231,5112,3535,2187,2215,1256,63253,41.4,93.2,63.9,29.2,34.7,38705,2228,2612,2133,2445,2517,2656,2300,2195,2526,2716,2606,2603,2758,2439,1615,1063,854,439,30190,40.6,,,,,,5.8,6.7,5.5,6.3,6.5,6.9,5.9,5.7,6.5,7,6.7,6.7,7.1,6.3,4.2,2.7,2.2,1.1,78,,,,,,41539,2061,2194,2651,2579,2703,2614,2420,2512,2571,2703,2741,2422,3473,2673,1920,1124,1361,817,33063,42,,,,,,5,5.3,6.4,6.2,6.5,6.3,5.8,6,6.2,6.5,6.6,5.8,8.4,6.4,4.6,2.7,3.3,2,79.6,,,,,
"Tallahassee, FL",384783,20076,20419,20605,31223,50746,29784,23706,22593,21882,21226,21772,22249,22913,20257,14227,9219,6043,5843,311227,34.1,93.2,50.5,21.7,28.8,185640,10372,10695,10134,14521,24306,14920,11820,11572,10248,10358,10811,10362,10876,9265,6687,4162,2435,2096,148171,33.3,,,,,,5.6,5.8,5.5,7.8,13.1,8,6.4,6.2,5.5,5.6,5.8,5.6,5.9,5,3.6,2.2,1.3,1.1,79.8,,,,,,199143,9704,9724,10471,16702,26440,14864,11886,11021,11634,10868,10961,11887,12037,10992,7540,5057,3608,3747,163056,34.9,,,,,,4.9,4.9,5.3,8.4,13.3,7.5,6,5.5,5.8,5.5,5.5,6,6,5.5,3.8,2.5,1.8,1.9,81.9,,,,,
"Tampa-St. Petersburg-Clearwater, FL",3152928,167108,170156,180177,175154,176475,213971,206729,203909,187200,205253,212892,223462,207941,192196,155917,117229,74733,82426,2527776,42.2,94.3,65.5,32.7,32.8,1530176,85431,85862,93348,89332,88502,106209,102171,98492,93086,100562,103677,106844,97887,88537,72373,53158,33250,31455,1210623,40.8,,,,,,5.6,5.6,6.1,5.8,5.8,6.9,6.7,6.4,6.1,6.6,6.8,7,6.4,5.8,4.7,3.5,2.2,2.1,79.1,,,,,,1622752,81677,84294,86829,85822,87973,107762,104558,105417,94114,104691,109215,116618,110054,103659,83544,64071,41483,50971,1317153,43.6,,,,,,5,5.2,5.4,5.3,5.4,6.6,6.4,6.5,5.8,6.5,6.7,7.2,6.8,6.4,5.1,3.9,2.6,3.1,81.2,,,,,
"Taos, NM",32759,1333,2054,1336,1678,1621,1549,1628,1880,1826,1758,2147,2430,2876,3020,2304,1387,1306,626,26981,48.9,97,78.6,47.1,31.5,16126,670,1004,791,870,892,764,825,719,1251,782,1022,1027,1526,1224,1294,721,495,249,13120,47.2,,,,,,4.2,6.2,4.9,5.4,5.5,4.7,5.1,4.5,7.8,4.8,6.3,6.4,9.5,7.6,8,4.5,3.1,1.5,81.4,,,,,,16633,663,1050,545,808,729,785,803,1161,575,976,1125,1403,1350,1796,1010,666,811,377,13861,51.1,,,,,,4,6.3,3.3,4.9,4.4,4.7,4.8,7,3.5,5.9,6.8,8.4,8.1,10.8,6.1,4,4.9,2.3,83.3,,,,,
"Taylorville, IL",32705,1735,2019,1637,1789,1808,1964,1967,2177,1817,2054,2352,2699,2243,1949,1474,1249,851,921,26155,43.7,103.1,65.9,32.7,33.2,16603,854,1100,755,943,980,1048,1085,1167,993,1067,1237,1415,1146,839,761,541,332,340,13284,42.1,,,,,,5.1,6.6,4.5,5.7,5.9,6.3,6.5,7,6,6.4,7.5,8.5,6.9,5.1,4.6,3.3,2,2,80,,,,,,16102,881,919,882,846,828,916,882,1010,824,987,1115,1284,1097,1110,713,708,519,581,12871,45.6,,,,,,5.5,5.7,5.5,5.3,5.1,5.7,5.5,6.3,5.1,6.1,6.9,8,6.8,6.9,4.4,4.4,3.2,3.6,79.9,,,,,
"Terre Haute, IN",186580,10605,10708,10950,12798,16145,12517,11058,10978,10973,11580,11565,12601,11759,11072,7643,6014,3456,4158,147438,38.9,101.5,62.1,28.1,34,93983,5447,5687,5452,6872,8270,6766,5978,5773,5743,6065,5933,6140,5799,5223,3632,2559,1423,1221,73647,37.3,,,,,,5.8,6.1,5.8,7.3,8.8,7.2,6.4,6.1,6.1,6.5,6.3,6.5,6.2,5.6,3.9,2.7,1.5,1.3,78.4,,,,,,92597,5158,5021,5498,5926,7875,5751,5080,5205,5230,5515,5632,6461,5960,5849,4011,3455,2033,2937,73791,40.7,,,,,,5.6,5.4,5.9,6.4,8.5,6.2,5.5,5.6,5.6,6,6.1,7,6.4,6.3,4.3,3.7,2.2,3.2,79.7,,,,,
"Texarkana, TX-AR",149482,9404,9498,10265,9381,8990,10149,9451,9572,9812,8968,9620,9681,9200,8260,6574,5258,2854,2545,114261,38.9,99.4,68.4,28.7,39.7,74526,4907,4664,5417,4977,4950,5400,4924,4557,5277,4513,4738,4557,4382,3968,3016,2370,1107,802,56239,37,,,,,,6.6,6.3,7.3,6.7,6.6,7.2,6.6,6.1,7.1,6.1,6.4,6.1,5.9,5.3,4,3.2,1.5,1.1,75.5,,,,,,74956,4497,4834,4848,4404,4040,4749,4527,5015,4535,4455,4882,5124,4818,4292,3558,2888,1747,1743,58022,40.6,,,,,,6,6.4,6.5,5.9,5.4,6.3,6,6.7,6.1,5.9,6.5,6.8,6.4,5.7,4.7,3.9,2.3,2.3,77.4,,,,,
"The Dalles, OR",26274,1602,1608,1739,1454,1468,1757,1604,1841,1335,1442,1426,1833,1872,1912,1229,898,494,760,20392,40.2,100.4,74,35.1,39,13163,848,791,934,759,781,921,884,839,717,680,700,868,919,949,620,478,258,217,10074,38.8,,,,,,6.4,6,7.1,5.8,5.9,7,6.7,6.4,5.4,5.2,5.3,6.6,7,7.2,4.7,3.6,2,1.6,76.5,,,,,,13111,754,817,805,695,687,836,720,1002,618,762,726,965,953,963,609,420,236,543,10318,41.8,,,,,,5.8,6.2,6.1,5.3,5.2,6.4,5.5,7.6,4.7,5.8,5.5,7.4,7.3,7.3,4.6,3.2,1.8,4.1,78.7,,,,,
"The Villages, FL",129938,2427,2333,3037,2980,2441,3482,3835,4192,3721,3675,4721,7342,10670,19453,23939,15715,9323,6652,120516,68,99.2,186,165.3,20.7,64718,1286,1081,1671,1504,1339,2177,2450,2495,2518,2210,2538,3285,4279,9073,10711,8045,5267,2789,59980,67.5,,,,,,2,1.7,2.6,2.3,2.1,3.4,3.8,3.9,3.9,3.4,3.9,5.1,6.6,14,16.6,12.4,8.1,4.3,92.7,,,,,,65220,1141,1252,1366,1476,1102,1305,1385,1697,1203,1465,2183,4057,6391,10380,13228,7670,4056,3863,60536,68.5,,,,,,1.7,1.9,2.1,2.3,1.7,2,2.1,2.6,1.8,2.2,3.3,6.2,9.8,15.9,20.3,11.8,6.2,5.9,92.8,,,,,
"Thomaston, GA",26329,1652,1282,1894,1607,1528,1876,1385,1304,1908,1544,1798,1978,1760,1656,1127,916,493,621,20406,42.2,91.2,68.9,30.9,38,12560,829,597,1043,828,678,1038,615,589,892,781,840,898,872,783,469,346,161,301,9488,40.7,,,,,,6.6,4.8,8.3,6.6,5.4,8.3,4.9,4.7,7.1,6.2,6.7,7.1,6.9,6.2,3.7,2.8,1.3,2.4,75.5,,,,,,13769,823,685,851,779,850,838,770,715,1016,763,958,1080,888,873,658,570,332,320,10918,42.8,,,,,,6,5,6.2,5.7,6.2,6.1,5.6,5.2,7.4,5.5,7,7.8,6.4,6.3,4.8,4.1,2.4,2.3,79.3,,,,,
"Thomasville, GA",44545,2787,2948,3021,2628,2689,2770,2757,2941,2190,2780,2855,2990,3162,2805,1882,1643,865,832,33953,39.5,91.4,71.8,31,40.9,21273,1477,1702,1454,1374,1372,1287,1260,1395,1050,1311,1371,1276,1580,1289,738,690,360,287,15660,37.3,,,,,,6.9,8,6.8,6.5,6.4,6,5.9,6.6,4.9,6.2,6.4,6,7.4,6.1,3.5,3.2,1.7,1.3,73.6,,,,,,23272,1310,1246,1567,1254,1317,1483,1497,1546,1140,1469,1484,1714,1582,1516,1144,953,505,545,18293,42.3,,,,,,5.6,5.4,6.7,5.4,5.7,6.4,6.4,6.6,4.9,6.3,6.4,7.4,6.8,6.5,4.9,4.1,2.2,2.3,78.6,,,,,
"Tiffin, OH",55251,2979,3118,3662,4380,3824,3289,3080,2983,3524,3211,3420,4112,3811,3251,2419,1529,1244,1415,43200,40.4,101,65.7,29.6,36.1,27758,1525,1565,1973,2227,2061,1742,1592,1483,1884,1671,1699,2128,1780,1518,1217,699,509,485,21526,38.9,,,,,,5.5,5.6,7.1,8,7.4,6.3,5.7,5.3,6.8,6,6.1,7.7,6.4,5.5,4.4,2.5,1.8,1.7,77.5,,,,,,27493,1454,1553,1689,2153,1763,1547,1488,1500,1640,1540,1721,1984,2031,1733,1202,830,735,930,21674,41.5,,,,,,5.3,5.6,6.1,7.8,6.4,5.6,5.4,5.5,6,5.6,6.3,7.2,7.4,6.3,4.4,3,2.7,3.4,78.8,,,,,
"Tifton, GA",40590,2802,2596,2998,3584,2667,2660,2496,2414,2819,2383,2249,2881,2052,2042,1534,1247,572,594,30554,36.1,94.5,65.2,24.4,40.9,19725,1611,1258,1582,1713,1400,1383,1237,1151,1363,1184,1105,1395,843,934,685,487,207,187,14379,34,,,,,,8.2,6.4,8,8.7,7.1,7,6.3,5.8,6.9,6,5.6,7.1,4.3,4.7,3.5,2.5,1,0.9,72.9,,,,,,20865,1191,1338,1416,1871,1267,1277,1259,1263,1456,1199,1144,1486,1209,1108,849,760,365,407,16175,38.6,,,,,,5.7,6.4,6.8,9,6.1,6.1,6,6.1,7,5.7,5.5,7.1,5.8,5.3,4.1,3.6,1.7,2,77.5,,,,,
"Toccoa, GA",25934,1684,1465,1497,1829,1839,1581,1420,1266,1434,1718,1539,1769,1675,1860,1450,975,288,645,20324,41.6,88,71.7,34.5,37.1,12137,902,652,750,496,930,838,731,670,607,839,757,819,818,933,597,500,129,169,9713,41.3,,,,,,7.4,5.4,6.2,4.1,7.7,6.9,6,5.5,5,6.9,6.2,6.7,6.7,7.7,4.9,4.1,1.1,1.4,80,,,,,,13797,782,813,747,1333,909,743,689,596,827,879,782,950,857,927,853,475,159,476,10611,41.8,,,,,,5.7,5.9,5.4,9.7,6.6,5.4,5,4.3,6,6.4,5.7,6.9,6.2,6.7,6.2,3.4,1.2,3.5,76.9,,,,,
"Toledo, OH",643724,38411,39332,40886,43920,47449,45159,40417,37812,35858,38802,39693,45412,42899,37573,26034,18648,11882,13537,500698,38.3,95.1,63.8,27.4,36.4,313833,19576,20786,20405,22188,23776,22665,20131,18255,17886,18922,19319,22093,20421,18418,11451,8375,4579,4587,240540,36.9,,,,,,6.2,6.6,6.5,7.1,7.6,7.2,6.4,5.8,5.7,6,6.2,7,6.5,5.9,3.6,2.7,1.5,1.5,76.6,,,,,,329891,18835,18546,20481,21732,23673,22494,20286,19557,17972,19880,20374,23319,22478,19155,14583,10273,7303,8950,260158,39.8,,,,,,5.7,5.6,6.2,6.6,7.2,6.8,6.1,5.9,5.4,6,6.2,7.1,6.8,5.8,4.4,3.1,2.2,2.7,78.9,,,,,
"Topeka, KS",232248,14198,15637,15399,15009,13390,13921,13723,14683,12434,13401,14774,16382,16651,13948,10511,7737,5081,5369,177355,40,95.1,72.4,31.7,40.7,113233,7173,8028,7858,7707,6730,6850,6636,7085,6271,6608,7266,7938,7881,6831,4839,3613,1761,2158,85221,39,,,,,,6.3,7.1,6.9,6.8,5.9,6,5.9,6.3,5.5,5.8,6.4,7,7,6,4.3,3.2,1.6,1.9,75.3,,,,,,119015,7025,7609,7541,7302,6660,7071,7087,7598,6163,6793,7508,8444,8770,7117,5672,4124,3320,3211,92134,41,,,,,,5.9,6.4,6.3,6.1,5.6,5.9,6,6.4,5.2,5.7,6.3,7.1,7.4,6,4.8,3.5,2.8,2.7,77.4,,,,,
"Torrington, CT",181143,7410,8638,9985,10544,9870,9459,9356,10282,9033,12161,14543,15055,16227,11894,10550,6109,3644,6383,148218,47.5,97.8,65.2,35.2,30,89565,3898,4589,5010,5461,5150,4918,4734,5143,4468,5993,7124,7396,7975,5549,5361,2658,1579,2559,72592,46.3,,,,,,4.4,5.1,5.6,6.1,5.8,5.5,5.3,5.7,5,6.7,8,8.3,8.9,6.2,6,3,1.8,2.9,81,,,,,,91578,3512,4049,4975,5083,4720,4541,4622,5139,4565,6168,7419,7659,8252,6345,5189,3451,2065,3824,75626,48.6,,,,,,3.8,4.4,5.4,5.6,5.2,5,5,5.6,5,6.7,8.1,8.4,9,6.9,5.7,3.8,2.3,4.2,82.6,,,,,
"Traverse City, MI",149717,7155,8056,8564,8379,7506,8646,8774,9064,7518,8785,9830,11747,12356,11118,8787,5365,3427,4640,120624,45.7,98.2,71.5,38.2,33.3,74165,3684,4226,4358,4515,3840,4326,4390,4743,3543,4512,4813,5751,5910,5647,4116,2568,1596,1627,59100,44.1,,,,,,5,5.7,5.9,6.1,5.2,5.8,5.9,6.4,4.8,6.1,6.5,7.8,8,7.6,5.5,3.5,2.2,2.2,79.7,,,,,,75552,3471,3830,4206,3864,3666,4320,4384,4321,3975,4273,5017,5996,6446,5471,4671,2797,1831,3013,61524,47.2,,,,,,4.6,5.1,5.6,5.1,4.9,5.7,5.8,5.7,5.3,5.7,6.6,7.9,8.5,7.2,6.2,3.7,2.4,4,81.4,,,,,
"Trenton-Princeton, NJ",368085,20734,20637,23156,26973,28340,23484,22284,24271,22415,25500,25646,25292,22999,18479,13269,9305,7126,8175,289586,38.8,95.7,57.8,24.2,33.7,179986,10610,10857,11667,13289,14113,12295,11305,12278,11122,12636,12530,12249,11036,8671,5832,3996,2857,2643,139769,37.3,,,,,,5.9,6,6.5,7.4,7.8,6.8,6.3,6.8,6.2,7,7,6.8,6.1,4.8,3.2,2.2,1.6,1.5,77.7,,,,,,188099,10124,9780,11489,13684,14227,11189,10979,11993,11293,12864,13116,13043,11963,9808,7437,5309,4269,5532,149817,40.3,,,,,,5.4,5.2,6.1,7.3,7.6,5.9,5.8,6.4,6,6.8,7,6.9,6.4,5.2,4,2.8,2.3,2.9,79.6,,,,,
"Troy, AL",33274,1785,1814,1684,3286,5395,2422,1516,1777,1412,1705,1741,1659,1963,1526,1405,819,607,758,26989,30.8,92.7,52.1,23.4,28.7,16011,945,1151,698,1699,2457,1356,731,903,546,754,803,841,858,762,596,349,253,309,12707,28.9,,,,,,5.9,7.2,4.4,10.6,15.3,8.5,4.6,5.6,3.4,4.7,5,5.3,5.4,4.8,3.7,2.2,1.6,1.9,79.4,,,,,,17263,840,663,986,1587,2938,1066,785,874,866,951,938,818,1105,764,809,470,354,449,14282,34.3,,,,,,4.9,3.8,5.7,9.2,17,6.2,4.5,5.1,5,5.5,5.4,4.7,6.4,4.4,4.7,2.7,2.1,2.6,82.7,,,,,
"Truckee-Grass Valley, CA",99417,4152,4445,5262,4913,4126,4397,5259,6094,5182,5309,5982,7760,9286,9180,7497,4384,2812,3377,82417,50.5,97,80.2,49.4,30.8,48943,2189,2321,2694,2435,2298,2187,2567,3029,2739,2850,2874,3531,4367,4426,3639,2242,1385,1170,40185,48.4,,,,,,4.5,4.7,5.5,5,4.7,4.5,5.2,6.2,5.6,5.8,5.9,7.2,8.9,9,7.4,4.6,2.8,2.4,82.1,,,,,,50474,1963,2124,2568,2478,1828,2210,2692,3065,2443,2459,3108,4229,4919,4754,3858,2142,1427,2207,42232,52.7,,,,,,3.9,4.2,5.1,4.9,3.6,4.4,5.3,6.1,4.8,4.9,6.2,8.4,9.7,9.4,7.6,4.2,2.8,4.4,83.7,,,,,
"Tucson, AZ",1038476,57606,59439,62039,68933,90722,71673,61309,63150,55403,56790,57183,63040,65869,64379,52212,40094,25133,23502,822114,38.7,96.8,68.4,33.3,35.1,510875,29389,29393,32631,34802,46277,37563,31920,31881,27451,27882,27870,30920,29778,29605,24406,18300,11391,9416,400544,37.1,,,,,,5.8,5.8,6.4,6.8,9.1,7.4,6.2,6.2,5.4,5.5,5.5,6.1,5.8,5.8,4.8,3.6,2.2,1.8,78.4,,,,,,527601,28217,30046,29408,34131,44445,34110,29389,31269,27952,28908,29313,32120,36091,34774,27806,21794,13742,14086,421570,40.5,,,,,,5.3,5.7,5.6,6.5,8.4,6.5,5.6,5.9,5.3,5.5,5.6,6.1,6.8,6.6,5.3,4.1,2.6,2.7,79.9,,,,,
"Tullahoma-Manchester, TN",104419,5874,7007,6115,6903,6760,6348,5878,6283,5895,6540,6805,7674,6939,6417,4772,3817,2187,2205,81358,40.9,96.4,68.5,31.3,37.2,51252,3148,3738,2770,3586,3479,3140,2903,3121,2973,3207,3361,3631,3467,3107,2197,1777,845,802,39460,39.7,,,,,,6.1,7.3,5.4,7,6.8,6.1,5.7,6.1,5.8,6.3,6.6,7.1,6.8,6.1,4.3,3.5,1.6,1.6,77,,,,,,53167,2726,3269,3345,3317,3281,3208,2975,3162,2922,3333,3444,4043,3472,3310,2575,2040,1342,1403,41898,42.2,,,,,,5.1,6.1,6.3,6.2,6.2,6,5.6,5.9,5.5,6.3,6.5,7.6,6.5,6.2,4.8,3.8,2.5,2.6,78.8,,,,,
"Tulsa, OK",996141,66323,66838,70814,65186,61915,70512,67355,65725,60314,61190,60403,64845,60808,50750,39779,28866,17524,16994,751087,37.2,96.5,66.8,25.8,41,489186,34182,34459,35968,33510,31504,35234,33430,32316,30071,30405,29833,31897,28562,23803,17931,13265,7283,5533,363630,36,,,,,,7,7,7.4,6.9,6.4,7.2,6.8,6.6,6.1,6.2,6.1,6.5,5.8,4.9,3.7,2.7,1.5,1.1,74.3,,,,,,506955,32141,32379,34846,31676,30411,35278,33925,33409,30243,30785,30570,32948,32246,26947,21848,15601,10241,11461,387457,38.4,,,,,,6.3,6.4,6.9,6.2,6,7,6.7,6.6,6,6.1,6,6.5,6.4,5.3,4.3,3.1,2,2.3,76.4,,,,,
"Tupelo, MS",165851,10838,12109,10968,11200,10183,11299,10289,10254,10701,10491,10769,10705,9951,8437,6542,5221,3003,2891,125000,38,93.1,67.7,26.4,41.3,79949,5475,5947,5636,5605,5263,5356,5107,4860,5327,5053,5331,5211,4623,3996,2896,2253,1127,883,59470,36.6,,,,,,6.8,7.4,7,7,6.6,6.7,6.4,6.1,6.7,6.3,6.7,6.5,5.8,5,3.6,2.8,1.4,1.1,74.4,,,,,,85902,5363,6162,5332,5595,4920,5943,5182,5394,5374,5438,5438,5494,5328,4441,3646,2968,1876,2008,65530,39.1,,,,,,6.2,7.2,6.2,6.5,5.7,6.9,6,6.3,6.3,6.3,6.3,6.4,6.2,5.2,4.2,3.5,2.2,2.3,76.3,,,,,
"Tuscaloosa, AL",251878,15027,15300,13882,21902,24650,19990,16431,15966,13602,14504,14281,14960,15193,12807,8969,6091,4299,4024,198975,34.6,92.5,54.7,22.2,32.5,121024,7847,7650,7119,9787,12853,10040,7971,7538,6669,6924,6707,7121,7158,5798,4304,2577,1566,1395,94041,33.2,,,,,,6.5,6.3,5.9,8.1,10.6,8.3,6.6,6.2,5.5,5.7,5.5,5.9,5.9,4.8,3.6,2.1,1.3,1.2,77.7,,,,,,130854,7180,7650,6763,12115,11797,9950,8460,8428,6933,7580,7574,7839,8035,7009,4665,3514,2733,2629,104934,35.8,,,,,,5.5,5.8,5.2,9.3,9,7.6,6.5,6.4,5.3,5.8,5.8,6,6.1,5.4,3.6,2.7,2.1,2,80.2,,,,,
